mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,meanHarmToNoiseHarmonicity,meanPeriodPulses,RPDE,DFA,app_LT_entropy_log_9_coef,app_LT_TKEO_std_9_coef,app_LT_TKEO_std_4_coef,app_LT_TKEO_mean_8_coef,app_LT_TKEO_mean_4_coef,app_LT_TKEO_std_2_coef,app_LT_TKEO_std_3_coef,app_LT_TKEO_std_5_coef,app_LT_entropy_log_10_coef,app_LT_TKEO_mean_7_coef,app_LT_TKEO_std_8_coef,app_LT_TKEO_std_10_coef,app_LT_TKEO_std_6_coef,app_LT_TKEO_std_7_coef,app_LT_TKEO_mean_5_coef,app_LT_TKEO_mean_10_coef,app_LT_TKEO_mean_9_coef,app_LT_TKEO_mean_6_coef,f2,f1,class
0.02292,1200445.612,1.3305,0.55527,0.091821,0.61775,0.39725,0.21511,2.4874,0.20023,-1.5144,-1.6334,0.28111,18.995,0.00806353,0.57227,0.71826,140.7776,4188.2456,101.0889,793.068,28.5949,16.7003,42.0762,228.8489,151.1748,371.7296,2091.946,8373.9278,493.8563,1015.7707,74.3411,3173.0448,1586.1824,174.9214,1031.84904,539.3427351,1.0
-0.46733,1298455.445,1.3177,0.45984,0.2361,0.72944,0.17695,0.22222,2.8986,0.20336,-1.6759,-1.3427,0.21342,21.497,0.008258256,0.53966,0.69481,140.6345,4148.9889,100.0918,786.0763,28.3506,16.5376,41.7306,226.9019,151.0317,368.5705,2074.4541,8298.1606,489.9169,1006.3702,73.7185,3144.4525,1572.1837,173.4666,1016.367294,564.3636145,1.0
-0.48228,1272869.841,1.3078,0.28918,0.16615,0.51173,0.7052,0.22618,3.2208,0.17296,-1.4929,-1.7334,0.25827,17.651,0.00833959,0.58982,0.67604,140.5436,4127.0967,99.6154,782.0604,28.2014,16.4817,41.4869,225.7803,150.9408,366.5936,2064.1067,8254.7868,486.9865,1001.7348,73.3297,3128.0295,1564.1081,172.5204,1032.406341,548.4446038,1.0
0.75419,1932289.206,1.2986,-1.559,-0.15365,1.4837,0.86495,0.20629,3.1023,0.1751,-0.65556,-1.0083,0.19689,19.865,0.010857733,0.59257,0.79672,139.4666,3910.7029,94.4579,724.9443,26.222,16.8216,41.3157,211.1565,149.8649,336.9109,1890.1299,7698.9389,443.3447,955.8128,67.4885,2913.3877,1448.7625,158.1634,1201.813897,819.529588,1.0
0.8321,1861807.802,1.3156,-1.755,-0.20208,1.5498,0.94225,0.23269,2.9451,0.21877,-0.51876,-1.0392,0.17459,19.557,0.008161574,0.53028,0.79782,139.8011,4297.4639,108.6792,827.9359,30.3224,18.3595,46.2704,244.0607,150.2018,390.174,2242.546,8645.2845,541.2414,1057.2566,78.253,3265.5292,1653.5676,182.9658,1215.346469,846.7961437,1.0
0.92168,1761740.466,1.264,-1.7519,0.16329,1.5673,0.83613,0.25192,2.6799,0.19882,-0.62433,-0.85935,0.22177,14.676,0.007631204,0.65451,0.78744,141.497,4490.8117,118.2894,856.6478,31.7812,22.7007,55.3092,260.5987,151.8946,406.812,2280.6768,9009.3152,571.4985,1090.6415,82.946,3413.618,1713.1566,192.7931,1193.223486,832.4372517,1.0
1.2562,1408372.118,1.3039,-2.7022,0.80736,0.12046,1.3692,0.2297,0.74769,0.13555,-0.97391,-2.8799,0.18529,18.67,0.005990989,0.54543,0.62145,142.6922,4737.9142,113.9745,895.4899,32.2819,18.8481,47.4972,258.2175,153.0894,419.6627,2358.532,9465.1464,557.1802,1147.0422,83.9366,3586.1536,1791.3123,197.5135,1165.801015,710.8618603,1.0
0.52793,1473379.51,1.3607,-1.6273,1.0621,0.17039,0.41979,0.21548,-0.66462,0.13759,-1.0065,-2.4404,0.22229,20.302,0.006073855,0.51179,0.62079,142.5015,4689.1889,112.5594,886.6832,31.9235,18.6623,46.9588,255.439,152.8987,415.2883,2336.1915,9368.8262,550.5283,1137.285,83.0343,3549.7682,1773.5485,195.4218,1165.769341,668.3065153,1.0
1.3395,1434452.951,1.3735,-1.3161,1.0857,-0.013419,0.76818,0.1349,-1.3781,0.13288,-1.4534,-2.8526,0.17526,22.376,0.006057188,0.50447,0.61766,142.5315,4711.4346,113.8672,893.6069,32.24,18.8287,47.402,258.0441,152.9287,418.9962,2359.9277,9428.5914,556.8407,1144.0632,83.813,3572.9956,1787.1418,197.1812,1127.450888,670.6393442,1.0
-1.9157,1241110.325,1.3603,-1.7791,-1.2263,0.92842,0.4632,0.20495,-0.034732,0.13205,-1.8731,-1.6722,0.17501,23.426,0.003910221,0.54855,0.62247,144.907,5528.7612,133.5242,1048.1533,37.7971,21.9842,55.521,302.3896,155.3042,491.271,2767.5847,11060.3011,652.3802,1343.0375,98.2367,4191.2084,2096.1772,231.1584,1285.508031,707.8155328,1.0
-2.0275,1333792.265,1.4238,-1.4786,-1.4838,1.5187,0.12373,0.299,0.81669,0.12814,-2.5354,-0.6259,0.3344,19.889,0.003956114,0.61745,0.67256,144.8912,5514.3104,133.0292,1045.0212,37.6573,21.9146,55.3601,301.123,155.2884,489.6797,2757.9747,11029.8965,649.8991,1339.4139,97.8902,4179.611,2089.9787,230.3802,1247.116884,677.2253757,1.0
