mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,std_12th_delta_delta,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_8_coef,std_10th_delta_delta,std_8th_delta_delta,std_10th_delta,std_9th_delta_delta,std_9th_delta,app_LT_entropy_shannon_3_coef,det_LT_entropy_log_10_coef,app_entropy_log_8_coef,app_LT_entropy_shannon_5_coef,app_entropy_log_7_coef,app_entropy_log_9_coef,app_LT_entropy_log_8_coef,app_entropy_log_10_coef,app_entropy_log_6_coef,app_LT_entropy_shannon_7_coef,app_LT_entropy_shannon_2_coef,std_12th_delta,std_8th_delta,std_6th_delta_delta,app_LT_entropy_shannon_9_coef,app_LT_entropy_shannon_4_coef,app_LT_entropy_shannon_10_coef,std_11th_delta_delta,meanHarmToNoiseHarmonicity,meanPeriodPulses,RPDE,DFA,app_LT_entropy_log_9_coef,app_LT_TKEO_std_9_coef,app_LT_TKEO_std_4_coef,app_LT_TKEO_mean_8_coef,app_LT_TKEO_mean_4_coef,app_LT_TKEO_std_2_coef,app_LT_TKEO_std_3_coef,app_LT_TKEO_std_5_coef,app_LT_entropy_log_10_coef,app_LT_TKEO_mean_7_coef,app_LT_TKEO_std_8_coef,app_LT_TKEO_std_10_coef,app_LT_TKEO_std_6_coef,app_LT_TKEO_std_7_coef,app_LT_TKEO_mean_5_coef,app_LT_TKEO_mean_10_coef,app_LT_TKEO_mean_9_coef,app_LT_TKEO_mean_6_coef,f2,f1,class
0.02292,1200445.612,1.3305,0.55527,0.091821,0.61775,0.39725,0.21511,2.4874,0.20023,-1.5144,-1.6334,0.28111,0.01213,-184901.7535,-776445.2329,0.017089,0.012829,0.035775,0.021703,0.04718,-36938.137,-163.4186,227.8718,-98433.1856,231.969,238.269,130.3804,248.6663,234.6861,-381059.351,-25711.8622,0.023057,0.028115,0.014642,-1676725.978,-57264.6625,-3601122.613,0.010043,18.995,0.00806353,0.57227,0.71826,140.7776,4188.2456,101.0889,793.068,28.5949,16.7003,42.0762,228.8489,151.1748,371.7296,2091.946,8373.9278,493.8563,1015.7707,74.3411,3173.0448,1586.1824,174.9214,1031.84904,539.3427351,1.0
-0.46733,1298455.445,1.3177,0.45984,0.2361,0.72944,0.17695,0.22222,2.8986,0.20336,-1.6759,-1.3427,0.21342,0.016128,-182880.5032,-768230.2335,0.015389,0.010645,0.030383,0.020296,0.039071,-36496.8101,-166.2056,227.1834,-97324.883,231.2326,237.5807,130.2373,247.9779,233.8954,-376979.9939,-25392.0069,0.032486,0.022166,0.0255,-1659120.382,-56599.2563,-3563560.603,0.015488,21.497,0.008258256,0.53966,0.69481,140.6345,4148.9889,100.0918,786.0763,28.3506,16.5376,41.7306,226.9019,151.0317,368.5705,2074.4541,8298.1606,489.9169,1006.3702,73.7185,3144.4525,1572.1837,173.4666,1016.367294,564.3636145,1.0
-0.48228,1272869.841,1.3078,0.28918,0.16615,0.51173,0.7052,0.22618,3.2208,0.17296,-1.4929,-1.7334,0.25827,0.016257,-181663.4768,-763056.6385,0.017217,0.016553,0.031811,0.023186,0.047357,-36288.7542,-183.1261,226.7479,-96708.1119,230.7762,237.1451,130.1464,247.5423,233.417,-374463.8517,-25253.6144,0.038433,0.032326,0.024607,-1648032.246,-56258.4752,-3539902.4,0.015073,17.651,0.00833959,0.58982,0.67604,140.5436,4127.0967,99.6154,782.0604,28.2014,16.4817,41.4869,225.7803,150.9408,366.5936,2064.1067,8254.7868,486.9865,1001.7348,73.3297,3128.0295,1564.1081,172.5204,1032.406341,548.4446038,1.0
0.75419,1932289.206,1.2986,-1.559,-0.15365,1.4837,0.86495,0.20629,3.1023,0.1751,-0.65556,-1.0083,0.19689,0.015713,-169639.1274,-704471.7514,0.015529,0.015533,0.0323,0.011976,0.024291,-35824.8476,-37.7727,222.5964,-91686.1704,226.5624,233.0128,129.0689,243.445,229.4475,-347128.0292,-25452.5218,0.037164,0.032577,0.017274,-1522358.498,-54370.929,-3271399.011,0.01377,19.865,0.010857733,0.59257,0.79672,139.4666,3910.7029,94.4579,724.9443,26.222,16.8216,41.3157,211.1565,149.8649,336.9109,1890.1299,7698.9389,443.3447,955.8128,67.4885,2913.3877,1448.7625,158.1634,1201.813897,819.529588,1.0
0.8321,1861807.802,1.3156,-1.755,-0.20208,1.5498,0.94225,0.23269,2.9451,0.21877,-0.51876,-1.0392,0.17459,0.013618,-176007.1589,-725678.1466,0.014478,0.014382,0.028222,0.012686,0.026002,-38399.3353,-8.3446,224.1464,-95740.4317,228.6784,234.5705,129.4029,245.0186,231.7202,-359900.4024,-27472.1915,0.028731,0.031989,0.013791,-1567705.131,-57514.4436,-3367165.736,0.013402,19.557,0.008161574,0.53028,0.79782,139.8011,4297.4639,108.6792,827.9359,30.3224,18.3595,46.2704,244.0607,150.2018,390.174,2242.546,8645.2845,541.2414,1057.2566,78.253,3265.5292,1653.5676,182.9658,1215.346469,846.7961437,1.0
0.92168,1761740.466,1.264,-1.7519,0.16329,1.5673,0.83613,0.25192,2.6799,0.19882,-0.62433,-0.85935,0.22177,0.01809,-196500.4921,-819418.599,0.019438,0.017719,0.03825,0.015025,0.029726,-39737.1374,-49.7272,232.958,-104738.4875,237.5195,243.3564,131.0997,253.7604,240.692,-403630.3745,-27766.3616,0.039203,0.038531,0.018248,-1768792.643,-61131.0983,-3797381.452,0.0177,14.676,0.007631204,0.65451,0.78744,141.497,4490.8117,118.2894,856.6478,31.7812,22.7007,55.3092,260.5987,151.8946,406.812,2280.6768,9009.3152,571.4985,1090.6415,82.946,3413.618,1713.1566,192.7931,1193.223486,832.4372517,1.0
1.2562,1408372.118,1.3039,-2.7022,0.80736,0.12046,1.3692,0.2297,0.74769,0.13555,-0.97391,-2.8799,0.18529,0.014208,-213539.0682,-895134.1157,0.017169,0.014555,0.037075,0.013068,0.02634,-42729.7247,-92.9115,237.4079,-113728.6244,242.0959,247.8052,132.295,258.2033,245.4171,-439591.4525,-29801.8283,0.026981,0.029105,0.017874,-1930965.718,-66187.6604,-4143316.972,0.012914,18.67,0.005990989,0.54543,0.62145,142.6922,4737.9142,113.9745,895.4899,32.2819,18.8481,47.4972,258.2175,153.0894,419.6627,2358.532,9465.1464,557.1802,1147.0422,83.9366,3586.1536,1791.3123,197.5135,1165.801015,710.8618603,1.0
0.52793,1473379.51,1.3607,-1.6273,1.0621,0.17039,0.41979,0.21548,-0.66462,0.13759,-1.0065,-2.4404,0.22229,0.0097242,-210627.3955,-882538.7595,0.012634,0.013645,0.027203,0.01451,0.034423,-42312.7476,-111.2707,236.431,-112296.3304,241.0822,246.8282,132.1043,257.2258,244.3645,-433521.4504,-29547.7175,0.019231,0.029998,0.014798,-1903996.566,-65440.4212,-4085825.963,0.010968,20.302,0.006073855,0.51179,0.62079,142.5015,4689.1889,112.5594,886.6832,31.9235,18.6623,46.9588,255.439,152.8987,415.2883,2336.1915,9368.8262,550.5283,1137.285,83.0343,3549.7682,1773.5485,195.4218,1165.769341,668.3065153,1.0
1.3395,1434452.951,1.3735,-1.3161,1.0857,-0.013419,0.76818,0.1349,-1.3781,0.13288,-1.4534,-2.8526,0.17526,0.0090548,-211102.9429,-884492.7334,0.010832,0.015607,0.020389,0.013336,0.026863,-42405.7938,-129.6288,236.5834,-112544.7905,241.2602,246.9806,132.1343,257.3779,244.5374,-434580.393,-29604.4594,0.01638,0.03276,0.020505,-1908180.953,-65588.552,-4094751.912,0.010263,22.376,0.006057188,0.50447,0.61766,142.5315,4711.4346,113.8672,893.6069,32.24,18.8287,47.402,258.0441,152.9287,418.9962,2359.9277,9428.5914,556.8407,1144.0632,83.813,3572.9956,1787.1418,197.1812,1127.450888,670.6393442,1.0
-1.9157,1241110.325,1.3603,-1.7791,-1.2263,0.92842,0.4632,0.20495,-0.034732,0.13205,-1.8731,-1.6722,0.17501,0.013365,-252786.7785,-1054905.116,0.01296,0.017956,0.027495,0.012766,0.026993,-51385.311,-114.7238,249.2264,-135192.2165,254.7707,259.6237,134.5098,270.021,258.9236,-519256.1222,-36076.2436,0.033662,0.044717,0.019883,-2272892.041,-79101.054,-4871946.867,0.011516,23.426,0.003910221,0.54855,0.62247,144.907,5528.7612,133.5242,1048.1533,37.7971,21.9842,55.521,302.3896,155.3042,491.271,2767.5847,11060.3011,652.3802,1343.0375,98.2367,4191.2084,2096.1772,231.1584,1285.508031,707.8155328,1.0
