tqwt_minValue_dec_18,tqwt_entropy_log_dec_34,tqwt_meanValue_dec_11,tqwt_entropy_shannon_dec_16,tqwt_entropy_log_dec_35,tqwt_entropy_log_dec_14,tqwt_entropy_log_dec_26,tqwt_stdValue_dec_17,tqwt_minValue_dec_14,tqwt_entropy_log_dec_11,tqwt_entropy_log_dec_28,tqwt_maxValue_dec_16,tqwt_entropy_log_dec_32,tqwt_entropy_log_dec_12,tqwt_entropy_log_dec_13,tqwt_minValue_dec_15,tqwt_meanValue_dec_5,tqwt_entropy_log_dec_10,tqwt_kurtosisValue_dec_36,tqwt_energy_dec_17,tqwt_entropy_shannon_dec_20,tqwt_meanValue_dec_7,tqwt_stdValue_dec_16,tqwt_maxValue_dec_15,tqwt_entropy_shannon_dec_15,tqwt_maxValue_dec_18,tqwt_meanValue_dec_34,tqwt_maxValue_dec_17,tqwt_stdValue_dec_15,tqwt_maxValue_dec_14,tqwt_entropy_log_dec_33,tqwt_minValue_dec_16,mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,meanHarmToNoiseHarmonicity,meanPeriodPulses,RPDE,DFA,app_LT_entropy_log_9_coef,app_LT_TKEO_std_9_coef,app_LT_TKEO_std_4_coef,app_LT_TKEO_mean_8_coef,app_LT_TKEO_mean_4_coef,app_LT_TKEO_std_2_coef,app_LT_TKEO_std_3_coef,app_LT_TKEO_std_5_coef,app_LT_entropy_log_10_coef,app_LT_TKEO_mean_7_coef,app_LT_TKEO_std_8_coef,app_LT_TKEO_std_10_coef,app_LT_TKEO_std_6_coef,app_LT_TKEO_std_7_coef,app_LT_TKEO_mean_5_coef,app_LT_TKEO_mean_10_coef,app_LT_TKEO_mean_9_coef,app_LT_TKEO_mean_6_coef,f2,f1,class
-0.61778,-3726.2679,-1.63e-20,189.5,-3190.1752,-83962.4084,-4459.3054,0.13169,-0.10839,-229943.2967,-3160.3491,0.29603,-5536.5796,-201985.0408,-127736.2777,-0.19432,-3.98e-22,-281439.269,18.9405,0.089055,225.6461,-3.52e-22,0.078064,0.20486,174.692,0.61778,7.96e-20,0.46639,0.063087,0.10575,-4540.083,-0.29603,0.02292,1200445.612,1.3305,0.55527,0.091821,0.61775,0.39725,0.21511,2.4874,0.20023,-1.5144,-1.6334,0.28111,18.995,0.00806353,0.57227,0.71826,140.7776,4188.2456,101.0889,793.068,28.5949,16.7003,42.0762,228.8489,151.1748,371.7296,2091.946,8373.9278,493.8563,1015.7707,74.3411,3173.0448,1586.1824,174.9214,1031.84904,539.3427351,1.0
-0.50757,-3719.5566,-1.68e-20,163.4516,-3106.4317,-90311.316,-5013.9281,0.12865,-0.10134,-230526.8175,-3212.9726,0.25945,-5232.0226,-203389.4678,-136442.1326,-0.17254,0.0,-285733.2255,45.178,0.10461,156.2954,-1.2e-20,0.071183,0.18155,140.8136,0.50757,2.43e-20,0.34292,0.055913,0.12158,-4466.8949,-0.25945,-0.46733,1298455.445,1.3177,0.45984,0.2361,0.72944,0.17695,0.22222,2.8986,0.20336,-1.6759,-1.3427,0.21342,21.497,0.008258256,0.53966,0.69481,140.6345,4148.9889,100.0918,786.0763,28.3506,16.5376,41.7306,226.9019,151.0317,368.5705,2074.4541,8298.1606,489.9169,1006.3702,73.7185,3144.4525,1572.1837,173.4666,1016.367294,564.3636145,1.0
-0.47225,-3661.5431,7.08e-22,101.5144,-3082.5691,-99913.1016,-5977.917,0.085754,-0.081836,-246592.6024,-3724.5248,0.20036,-5388.7857,-214707.2576,-146506.6418,-0.15447,2.6e-22,-305145.0185,4.7666,0.10359,140.831,-9.070000000000001e-21,0.051791,0.17028,84.8129,0.47225,3.03e-20,0.28375,0.041144,0.081818,-4455.2826,-0.20036,-0.48228,1272869.841,1.3078,0.28918,0.16615,0.51173,0.7052,0.22618,3.2208,0.17296,-1.4929,-1.7334,0.25827,17.651,0.00833959,0.58982,0.67604,140.5436,4127.0967,99.6154,782.0604,28.2014,16.4817,41.4869,225.7803,150.9408,366.5936,2064.1067,8254.7868,486.9865,1001.7348,73.3297,3128.0295,1564.1081,172.5204,1032.406341,548.4446038,1.0
-0.65225,-2372.6055,5.63e-20,646.9783,-1965.3808,-70072.7154,-2473.9872,0.19487,-0.58638,-255107.4287,-4965.0071,0.94236,-3124.9244,-160775.565,-103182.8663,-0.84814,-7.1e-21,-287896.7686,4.0603,0.041364,324.7968,-8.810000000000001e-21,0.19839,0.83417,572.9586,0.76014,2.43e-20,0.87739,0.15872,0.56774,-2779.8086,-0.91013,0.75419,1932289.206,1.2986,-1.559,-0.15365,1.4837,0.86495,0.20629,3.1023,0.1751,-0.65556,-1.0083,0.19689,19.865,0.010857733,0.59257,0.79672,139.4666,3910.7029,94.4579,724.9443,26.222,16.8216,41.3157,211.1565,149.8649,336.9109,1890.1299,7698.9389,443.3447,955.8128,67.4885,2913.3877,1448.7625,158.1634,1201.813897,819.529588,1.0
-0.62996,-2484.715,1.28e-20,683.1305,-2102.3852,-67314.2041,-2171.4673,0.1723,-0.5058,-252647.9964,-5832.5871,0.75783,-3319.5362,-154087.6641,-97661.8079,-0.86047,5.72e-21,-279129.6866,6.1164,0.032471,325.9259,2.64e-22,0.1979,0.74186,647.2537,0.58794,1.88e-19,0.80918,0.169,0.56749,-2910.9996,-0.93465,0.8321,1861807.802,1.3156,-1.755,-0.20208,1.5498,0.94225,0.23269,2.9451,0.21877,-0.51876,-1.0392,0.17459,19.557,0.008161574,0.53028,0.79782,139.8011,4297.4639,108.6792,827.9359,30.3224,18.3595,46.2704,244.0607,150.2018,390.174,2242.546,8645.2845,541.2414,1057.2566,78.253,3265.5292,1653.5676,182.9658,1215.346469,846.7961437,1.0
-0.53906,-2239.3081,-3.36e-20,697.3025,-1918.089,-68599.971,-2728.0888,0.18456,-0.59958,-250630.0229,-5280.4764,0.85841,-2399.6602,-158686.4553,-101139.3277,-0.84755,1.31e-20,-275884.6604,3.225,0.041259,352.4345,3.52e-22,0.20793,0.86536,661.3569,0.54726,8.49e-20,0.73881,0.17745,0.62515,-2499.9299,-0.88914,0.92168,1761740.466,1.264,-1.7519,0.16329,1.5673,0.83613,0.25192,2.6799,0.19882,-0.62433,-0.85935,0.22177,14.676,0.007631204,0.65451,0.78744,141.497,4490.8117,118.2894,856.6478,31.7812,22.7007,55.3092,260.5987,151.8946,406.812,2280.6768,9009.3152,571.4985,1090.6415,82.946,3413.618,1713.1566,192.7931,1193.223486,832.4372517,1.0
-0.61289,-2511.6261,-1.04e-19,965.6082,-2142.4755,-60759.8073,-1071.8399,0.26191,-0.30381,-186998.3021,-8263.9206,0.60066,-2966.0718,-123379.9212,-84630.5749,-0.36555,-3.5500000000000005e-21,-228117.0233,7.7693,0.083084,259.6713,-3.74e-20,0.23198,0.36239,671.048,0.60873,-1.94e-19,0.75767,0.1472,0.32828,-2701.9626,-0.58136,1.2562,1408372.118,1.3039,-2.7022,0.80736,0.12046,1.3692,0.2297,0.74769,0.13555,-0.97391,-2.8799,0.18529,18.67,0.005990989,0.54543,0.62145,142.6922,4737.9142,113.9745,895.4899,32.2819,18.8481,47.4972,258.2175,153.0894,419.6627,2358.532,9465.1464,557.1802,1147.0422,83.9366,3586.1536,1791.3123,197.5135,1165.801015,710.8618603,1.0
-0.58601,-2192.1084,-3.51e-20,987.3595,-1911.9907,-64328.1679,-1413.4164,0.28121,-0.27259,-194841.0453,-5635.3952,0.53308,-3135.3124,-120105.918,-81552.501,-0.36161,6.910000000000001e-21,-232345.1421,5.0448,0.099007,279.4512,1.18e-20,0.22982,0.39396,556.9767,0.61423,-8.73e-19,0.70263,0.13237,0.25932,-2598.5729,-0.58256,0.52793,1473379.51,1.3607,-1.6273,1.0621,0.17039,0.41979,0.21548,-0.66462,0.13759,-1.0065,-2.4404,0.22229,20.302,0.006073855,0.51179,0.62079,142.5015,4689.1889,112.5594,886.6832,31.9235,18.6623,46.9588,255.439,152.8987,415.2883,2336.1915,9368.8262,550.5283,1137.285,83.0343,3549.7682,1773.5485,195.4218,1165.769341,668.3065153,1.0
-0.77843,-2461.2141,1.57e-20,996.8589,-2201.4183,-61819.1894,-2060.9471,0.35887,-0.35724,-199284.3607,-6697.7144,0.61258,-2857.6096,-125357.3699,-84209.095,-0.43696,-8.38e-21,-233531.0215,3.843,0.19084,240.5436,-2.84e-20,0.23435,0.46549,500.4981,0.68579,6.67e-20,0.80347,0.12394,0.41603,-2640.7162,-0.6246,1.3395,1434452.951,1.3735,-1.3161,1.0857,-0.013419,0.76818,0.1349,-1.3781,0.13288,-1.4534,-2.8526,0.17526,22.376,0.006057188,0.50447,0.61766,142.5315,4711.4346,113.8672,893.6069,32.24,18.8287,47.402,258.0441,152.9287,418.9962,2359.9277,9428.5914,556.8407,1144.0632,83.813,3572.9956,1787.1418,197.1812,1127.450888,670.6393442,1.0
-0.6235,-3705.2665,-9.94e-20,855.2864,-3306.9933,-45321.4183,-13788.0028,0.30115,-0.62352,-213417.7115,-7699.7633,0.5904,-5223.3198,-119688.9023,-68697.2353,-0.63508,-6.12e-22,-259591.7031,38.7211,0.20216,310.4498,-3.39e-20,0.20353,0.62537,853.2024,0.6235,1.08e-19,0.76758,0.19039,0.5891,-4244.034,-0.5904,-1.9157,1241110.325,1.3603,-1.7791,-1.2263,0.92842,0.4632,0.20495,-0.034732,0.13205,-1.8731,-1.6722,0.17501,23.426,0.003910221,0.54855,0.62247,144.907,5528.7612,133.5242,1048.1533,37.7971,21.9842,55.521,302.3896,155.3042,491.271,2767.5847,11060.3011,652.3802,1343.0375,98.2367,4191.2084,2096.1772,231.1584,1285.508031,707.8155328,1.0
