tqwt_minValue_dec_18,tqwt_entropy_log_dec_34,tqwt_meanValue_dec_11,tqwt_entropy_shannon_dec_16,tqwt_entropy_log_dec_35,tqwt_entropy_log_dec_14,tqwt_entropy_log_dec_26,tqwt_stdValue_dec_17,tqwt_minValue_dec_14,tqwt_entropy_log_dec_11,tqwt_entropy_log_dec_28,tqwt_maxValue_dec_16,tqwt_entropy_log_dec_32,tqwt_entropy_log_dec_12,tqwt_entropy_log_dec_13,tqwt_minValue_dec_15,tqwt_meanValue_dec_5,tqwt_entropy_log_dec_10,tqwt_kurtosisValue_dec_36,tqwt_energy_dec_17,tqwt_entropy_shannon_dec_20,tqwt_meanValue_dec_7,tqwt_stdValue_dec_16,tqwt_maxValue_dec_15,tqwt_entropy_shannon_dec_15,tqwt_maxValue_dec_18,tqwt_meanValue_dec_34,tqwt_maxValue_dec_17,tqwt_stdValue_dec_15,tqwt_maxValue_dec_14,tqwt_entropy_log_dec_33,tqwt_minValue_dec_16,mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,std_12th_delta_delta,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_8_coef,std_10th_delta_delta,std_8th_delta_delta,std_10th_delta,std_9th_delta_delta,std_9th_delta,app_LT_entropy_shannon_3_coef,det_LT_entropy_log_10_coef,app_entropy_log_8_coef,app_LT_entropy_shannon_5_coef,app_entropy_log_7_coef,app_entropy_log_9_coef,app_LT_entropy_log_8_coef,app_entropy_log_10_coef,app_entropy_log_6_coef,app_LT_entropy_shannon_7_coef,app_LT_entropy_shannon_2_coef,std_12th_delta,std_8th_delta,std_6th_delta_delta,app_LT_entropy_shannon_9_coef,app_LT_entropy_shannon_4_coef,app_LT_entropy_shannon_10_coef,std_11th_delta_delta,class
-0.61778,-3726.2679,-1.63e-20,189.5,-3190.1752,-83962.4084,-4459.3054,0.13169,-0.10839,-229943.2967,-3160.3491,0.29603,-5536.5796,-201985.0408,-127736.2777,-0.19432,-3.98e-22,-281439.269,18.9405,0.089055,225.6461,-3.52e-22,0.078064,0.20486,174.692,0.61778,7.96e-20,0.46639,0.063087,0.10575,-4540.083,-0.29603,0.02292,1200445.612,1.3305,0.55527,0.091821,0.61775,0.39725,0.21511,2.4874,0.20023,-1.5144,-1.6334,0.28111,0.01213,-184901.7535,-776445.2329,0.017089,0.012829,0.035775,0.021703,0.04718,-36938.137,-163.4186,227.8718,-98433.1856,231.969,238.269,130.3804,248.6663,234.6861,-381059.351,-25711.8622,0.023057,0.028115,0.014642,-1676725.978,-57264.6625,-3601122.613,0.010043,1.0
-0.50757,-3719.5566,-1.68e-20,163.4516,-3106.4317,-90311.316,-5013.9281,0.12865,-0.10134,-230526.8175,-3212.9726,0.25945,-5232.0226,-203389.4678,-136442.1326,-0.17254,0.0,-285733.2255,45.178,0.10461,156.2954,-1.2e-20,0.071183,0.18155,140.8136,0.50757,2.43e-20,0.34292,0.055913,0.12158,-4466.8949,-0.25945,-0.46733,1298455.445,1.3177,0.45984,0.2361,0.72944,0.17695,0.22222,2.8986,0.20336,-1.6759,-1.3427,0.21342,0.016128,-182880.5032,-768230.2335,0.015389,0.010645,0.030383,0.020296,0.039071,-36496.8101,-166.2056,227.1834,-97324.883,231.2326,237.5807,130.2373,247.9779,233.8954,-376979.9939,-25392.0069,0.032486,0.022166,0.0255,-1659120.382,-56599.2563,-3563560.603,0.015488,1.0
-0.47225,-3661.5431,7.08e-22,101.5144,-3082.5691,-99913.1016,-5977.917,0.085754,-0.081836,-246592.6024,-3724.5248,0.20036,-5388.7857,-214707.2576,-146506.6418,-0.15447,2.6e-22,-305145.0185,4.7666,0.10359,140.831,-9.070000000000001e-21,0.051791,0.17028,84.8129,0.47225,3.03e-20,0.28375,0.041144,0.081818,-4455.2826,-0.20036,-0.48228,1272869.841,1.3078,0.28918,0.16615,0.51173,0.7052,0.22618,3.2208,0.17296,-1.4929,-1.7334,0.25827,0.016257,-181663.4768,-763056.6385,0.017217,0.016553,0.031811,0.023186,0.047357,-36288.7542,-183.1261,226.7479,-96708.1119,230.7762,237.1451,130.1464,247.5423,233.417,-374463.8517,-25253.6144,0.038433,0.032326,0.024607,-1648032.246,-56258.4752,-3539902.4,0.015073,1.0
-0.65225,-2372.6055,5.63e-20,646.9783,-1965.3808,-70072.7154,-2473.9872,0.19487,-0.58638,-255107.4287,-4965.0071,0.94236,-3124.9244,-160775.565,-103182.8663,-0.84814,-7.1e-21,-287896.7686,4.0603,0.041364,324.7968,-8.810000000000001e-21,0.19839,0.83417,572.9586,0.76014,2.43e-20,0.87739,0.15872,0.56774,-2779.8086,-0.91013,0.75419,1932289.206,1.2986,-1.559,-0.15365,1.4837,0.86495,0.20629,3.1023,0.1751,-0.65556,-1.0083,0.19689,0.015713,-169639.1274,-704471.7514,0.015529,0.015533,0.0323,0.011976,0.024291,-35824.8476,-37.7727,222.5964,-91686.1704,226.5624,233.0128,129.0689,243.445,229.4475,-347128.0292,-25452.5218,0.037164,0.032577,0.017274,-1522358.498,-54370.929,-3271399.011,0.01377,1.0
-0.62996,-2484.715,1.28e-20,683.1305,-2102.3852,-67314.2041,-2171.4673,0.1723,-0.5058,-252647.9964,-5832.5871,0.75783,-3319.5362,-154087.6641,-97661.8079,-0.86047,5.72e-21,-279129.6866,6.1164,0.032471,325.9259,2.64e-22,0.1979,0.74186,647.2537,0.58794,1.88e-19,0.80918,0.169,0.56749,-2910.9996,-0.93465,0.8321,1861807.802,1.3156,-1.755,-0.20208,1.5498,0.94225,0.23269,2.9451,0.21877,-0.51876,-1.0392,0.17459,0.013618,-176007.1589,-725678.1466,0.014478,0.014382,0.028222,0.012686,0.026002,-38399.3353,-8.3446,224.1464,-95740.4317,228.6784,234.5705,129.4029,245.0186,231.7202,-359900.4024,-27472.1915,0.028731,0.031989,0.013791,-1567705.131,-57514.4436,-3367165.736,0.013402,1.0
-0.53906,-2239.3081,-3.36e-20,697.3025,-1918.089,-68599.971,-2728.0888,0.18456,-0.59958,-250630.0229,-5280.4764,0.85841,-2399.6602,-158686.4553,-101139.3277,-0.84755,1.31e-20,-275884.6604,3.225,0.041259,352.4345,3.52e-22,0.20793,0.86536,661.3569,0.54726,8.49e-20,0.73881,0.17745,0.62515,-2499.9299,-0.88914,0.92168,1761740.466,1.264,-1.7519,0.16329,1.5673,0.83613,0.25192,2.6799,0.19882,-0.62433,-0.85935,0.22177,0.01809,-196500.4921,-819418.599,0.019438,0.017719,0.03825,0.015025,0.029726,-39737.1374,-49.7272,232.958,-104738.4875,237.5195,243.3564,131.0997,253.7604,240.692,-403630.3745,-27766.3616,0.039203,0.038531,0.018248,-1768792.643,-61131.0983,-3797381.452,0.0177,1.0
-0.61289,-2511.6261,-1.04e-19,965.6082,-2142.4755,-60759.8073,-1071.8399,0.26191,-0.30381,-186998.3021,-8263.9206,0.60066,-2966.0718,-123379.9212,-84630.5749,-0.36555,-3.5500000000000005e-21,-228117.0233,7.7693,0.083084,259.6713,-3.74e-20,0.23198,0.36239,671.048,0.60873,-1.94e-19,0.75767,0.1472,0.32828,-2701.9626,-0.58136,1.2562,1408372.118,1.3039,-2.7022,0.80736,0.12046,1.3692,0.2297,0.74769,0.13555,-0.97391,-2.8799,0.18529,0.014208,-213539.0682,-895134.1157,0.017169,0.014555,0.037075,0.013068,0.02634,-42729.7247,-92.9115,237.4079,-113728.6244,242.0959,247.8052,132.295,258.2033,245.4171,-439591.4525,-29801.8283,0.026981,0.029105,0.017874,-1930965.718,-66187.6604,-4143316.972,0.012914,1.0
-0.58601,-2192.1084,-3.51e-20,987.3595,-1911.9907,-64328.1679,-1413.4164,0.28121,-0.27259,-194841.0453,-5635.3952,0.53308,-3135.3124,-120105.918,-81552.501,-0.36161,6.910000000000001e-21,-232345.1421,5.0448,0.099007,279.4512,1.18e-20,0.22982,0.39396,556.9767,0.61423,-8.73e-19,0.70263,0.13237,0.25932,-2598.5729,-0.58256,0.52793,1473379.51,1.3607,-1.6273,1.0621,0.17039,0.41979,0.21548,-0.66462,0.13759,-1.0065,-2.4404,0.22229,0.0097242,-210627.3955,-882538.7595,0.012634,0.013645,0.027203,0.01451,0.034423,-42312.7476,-111.2707,236.431,-112296.3304,241.0822,246.8282,132.1043,257.2258,244.3645,-433521.4504,-29547.7175,0.019231,0.029998,0.014798,-1903996.566,-65440.4212,-4085825.963,0.010968,1.0
-0.77843,-2461.2141,1.57e-20,996.8589,-2201.4183,-61819.1894,-2060.9471,0.35887,-0.35724,-199284.3607,-6697.7144,0.61258,-2857.6096,-125357.3699,-84209.095,-0.43696,-8.38e-21,-233531.0215,3.843,0.19084,240.5436,-2.84e-20,0.23435,0.46549,500.4981,0.68579,6.67e-20,0.80347,0.12394,0.41603,-2640.7162,-0.6246,1.3395,1434452.951,1.3735,-1.3161,1.0857,-0.013419,0.76818,0.1349,-1.3781,0.13288,-1.4534,-2.8526,0.17526,0.0090548,-211102.9429,-884492.7334,0.010832,0.015607,0.020389,0.013336,0.026863,-42405.7938,-129.6288,236.5834,-112544.7905,241.2602,246.9806,132.1343,257.3779,244.5374,-434580.393,-29604.4594,0.01638,0.03276,0.020505,-1908180.953,-65588.552,-4094751.912,0.010263,1.0
-0.6235,-3705.2665,-9.94e-20,855.2864,-3306.9933,-45321.4183,-13788.0028,0.30115,-0.62352,-213417.7115,-7699.7633,0.5904,-5223.3198,-119688.9023,-68697.2353,-0.63508,-6.12e-22,-259591.7031,38.7211,0.20216,310.4498,-3.39e-20,0.20353,0.62537,853.2024,0.6235,1.08e-19,0.76758,0.19039,0.5891,-4244.034,-0.5904,-1.9157,1241110.325,1.3603,-1.7791,-1.2263,0.92842,0.4632,0.20495,-0.034732,0.13205,-1.8731,-1.6722,0.17501,0.013365,-252786.7785,-1054905.116,0.01296,0.017956,0.027495,0.012766,0.026993,-51385.311,-114.7238,249.2264,-135192.2165,254.7707,259.6237,134.5098,270.021,258.9236,-519256.1222,-36076.2436,0.033662,0.044717,0.019883,-2272892.041,-79101.054,-4871946.867,0.011516,1.0
