RPDE,DFA,meanPeriodPulses,meanHarmToNoiseHarmonicity,app_LT_TKEO_std_2_coef,app_LT_TKEO_std_3_coef,app_LT_TKEO_mean_6_coef,app_LT_TKEO_std_8_coef,app_LT_entropy_log_10_coef,app_LT_TKEO_mean_10_coef,app_LT_TKEO_mean_4_coef,app_LT_TKEO_mean_8_coef,app_LT_TKEO_mean_7_coef,app_LT_TKEO_std_5_coef,app_LT_entropy_log_9_coef,app_LT_TKEO_std_10_coef,app_LT_TKEO_std_6_coef,app_LT_TKEO_mean_5_coef,app_LT_TKEO_std_9_coef,app_LT_TKEO_mean_9_coef,app_LT_TKEO_std_4_coef,app_LT_TKEO_std_7_coef,f3,f2,f1,f4,std_12th_delta_delta,std_9th_delta,std_8th_delta,app_LT_entropy_log_8_coef,app_LT_entropy_shannon_2_coef,std_12th_delta,det_LT_entropy_log_10_coef,std_10th_delta_delta,app_LT_entropy_shannon_3_coef,app_LT_entropy_shannon_8_coef,det_entropy_log_9_coef,app_entropy_log_10_coef,std_8th_delta_delta,std_9th_delta_delta,app_entropy_log_8_coef,app_LT_entropy_shannon_5_coef,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_7_coef,det_entropy_log_8_coef,app_entropy_log_7_coef,app_LT_entropy_shannon_9_coef,det_LT_entropy_log_9_coef,app_entropy_log_6_coef,std_11th_delta_delta,app_LT_entropy_shannon_10_coef,std_10th_delta,app_entropy_log_9_coef,app_LT_entropy_shannon_4_coef,std_6th_delta_delta,det_entropy_log_10_coef,class
0.57227,0.71826,0.00806353,18.995,16.7003,42.0762,174.9214,2091.946,151.1748,3173.0448,28.5949,793.068,371.7296,228.8489,140.7776,8373.9278,493.8563,74.3411,4188.2456,1586.1824,101.0889,1015.7707,2447.162183,1031.84904,539.3427351,3655.054806,0.01213,0.04718,0.028115,130.3804,-25711.8622,0.023057,-163.4186,0.017089,-36938.137,-776445.2329,-31.2923,248.6663,0.012829,0.021703,227.8718,-98433.1856,-184901.7535,-381059.351,-46.8515,231.969,-1676725.978,-175.6679,234.6861,0.010043,-3601122.613,0.035775,238.269,-57264.6625,0.014642,-18.7456,1.0
0.53966,0.69481,0.008258256,21.497,16.5376,41.7306,173.4666,2074.4541,151.0317,3144.4525,28.3506,786.0763,368.5705,226.9019,140.6345,8298.1606,489.9169,73.7185,4148.9889,1572.1837,100.0918,1006.3702,2383.565201,1016.367294,564.3636145,3498.681572,0.016128,0.039071,0.022166,130.2373,-25392.0069,0.032486,-166.2056,0.015389,-36496.8101,-768230.2335,-33.8478,247.9779,0.010645,0.020296,227.1834,-97324.883,-182880.5032,-376979.9939,-29.473,231.2326,-1659120.382,-177.7185,233.8954,0.015488,-3563560.603,0.030383,237.5807,-56599.2563,0.0255,-22.4413,1.0
0.58982,0.67604,0.00833959,17.651,16.4817,41.4869,172.5204,2064.1067,150.9408,3128.0295,28.2014,782.0604,366.5936,225.7803,140.5436,8254.7868,486.9865,73.3297,4127.0967,1564.1081,99.6154,1001.7348,2357.826954,1032.406341,548.4446038,3678.128717,0.016257,0.047357,0.032326,130.1464,-25253.6144,0.038433,-183.1261,0.017217,-36288.7542,-763056.6385,-59.2535,247.5423,0.016553,0.023186,226.7479,-96708.1119,-181663.4768,-374463.8517,-49.4374,230.7762,-1648032.246,-203.4729,233.417,0.015073,-3539902.4,0.031811,237.1451,-56258.4752,0.024607,-39.3774,1.0
0.59257,0.79672,0.010857733,19.865,16.8216,41.3157,158.1634,1890.1299,149.8649,2913.3877,26.222,724.9443,336.9109,211.1565,139.4666,7698.9389,443.3447,67.4885,3910.7029,1448.7625,94.4579,955.8128,3154.035654,1201.813897,819.529588,4122.163933,0.015713,0.024291,0.032577,129.0689,-25452.5218,0.037164,-37.7727,0.015529,-35824.8476,-704471.7514,94.2247,243.445,0.015533,0.011976,222.5964,-91686.1704,-169639.1274,-347128.0292,102.5224,226.5624,-1522358.498,-53.0037,229.4475,0.01377,-3271399.011,0.0323,233.0128,-54370.929,0.017274,109.5148,1.0
0.53028,0.79782,0.008161574,19.557,18.3595,46.2704,182.9658,2242.546,150.2018,3265.5292,30.3224,827.9359,390.174,244.0607,139.8011,8645.2845,541.2414,78.253,4297.4639,1653.5676,108.6792,1057.2566,3201.513132,1215.346469,846.7961437,4085.456839,0.013618,0.026002,0.031989,129.4029,-27472.1915,0.028731,-8.3446,0.014478,-38399.3353,-725678.1466,112.0031,245.0186,0.014382,0.012686,224.1464,-95740.4317,-176007.1589,-359900.4024,100.3828,228.6784,-1567705.131,-34.3376,231.7202,0.013402,-3367165.736,0.028222,234.5705,-57514.4436,0.013791,138.1052,1.0
0.65451,0.78744,0.007631204,14.676,22.7007,55.3092,192.7931,2280.6768,151.8946,3413.618,31.7812,856.6478,406.812,260.5987,141.497,9009.3152,571.4985,82.946,4490.8117,1713.1566,118.2894,1090.6415,3177.289013,1193.223486,832.4372517,3791.213621,0.01809,0.029726,0.038531,131.0997,-27766.3616,0.039203,-49.7272,0.019438,-39737.1374,-819418.599,72.378,253.7604,0.017719,0.015025,232.958,-104738.4875,-196500.4921,-403630.3745,116.6951,237.5195,-1768792.643,-79.6265,240.692,0.0177,-3797381.452,0.03825,243.3564,-61131.0983,0.018248,97.2651,1.0
0.54543,0.62145,0.005990989,18.67,18.8481,47.4972,197.5135,2358.532,153.0894,3586.1536,32.2819,895.4899,419.6627,258.2175,142.6922,9465.1464,557.1802,83.9366,4737.9142,1791.3123,113.9745,1147.0422,3049.357722,1165.801015,710.8618603,4211.727619,0.014208,0.02634,0.029105,132.295,-29801.8283,0.026981,-92.9115,0.017169,-42729.7247,-895134.1157,36.8379,258.2033,0.014555,0.013068,237.4079,-113728.6244,-213539.0682,-439591.4525,29.3834,242.0959,-1930965.718,-116.8795,245.4171,0.012914,-4143316.972,0.037075,247.8052,-66187.6604,0.017874,59.7394,1.0
0.51179,0.62079,0.006073855,20.302,18.6623,46.9588,195.4218,2336.1915,152.8987,3549.7682,31.9235,886.6832,415.2883,255.439,142.5015,9368.8262,550.5283,83.0343,4689.1889,1773.5485,112.5594,1137.285,2954.648489,1165.769341,668.3065153,3560.280084,0.0097242,0.034423,0.029998,132.1043,-29547.7175,0.019231,-111.2707,0.012634,-42312.7476,-882538.7595,-1.2594,257.2258,0.013645,0.01451,236.431,-112296.3304,-210627.3955,-433521.4504,-8.2027,241.0822,-1903996.566,-152.4966,244.3645,0.010968,-4085825.963,0.027203,246.8282,-65440.4212,0.014798,41.4008,1.0
0.50447,0.61766,0.006057188,22.376,18.8287,47.402,197.1812,2359.9277,152.9287,3572.9956,32.24,893.6069,418.9962,258.0441,142.5315,9428.5914,556.8407,83.813,4711.4346,1787.1418,113.8672,1144.0632,2933.208331,1127.450888,670.6393442,3833.298076,0.0090548,0.026863,0.03276,132.1343,-29604.4594,0.01638,-129.6288,0.010832,-42405.7938,-884492.7334,11.354,257.3779,0.015607,0.013336,236.5834,-112544.7905,-211102.9429,-434580.393,27.1609,241.2602,-1908180.953,-141.3512,244.5374,0.010263,-4094751.912,0.020389,246.9806,-65588.552,0.020505,23.5129,1.0
0.54855,0.62247,0.003910221,23.426,21.9842,55.521,231.1584,2767.5847,155.3042,4191.2084,37.7971,1048.1533,491.271,302.3896,144.907,11060.3011,652.3802,98.2367,5528.7612,2096.1772,133.5242,1343.0375,2020.531841,1285.508031,707.8155328,3238.976356,0.013365,0.026993,0.044717,134.5098,-36076.2436,0.033662,-114.7238,0.01296,-51385.311,-1054905.116,28.4016,270.021,0.017956,0.012766,249.2264,-135192.2165,-252786.7785,-519256.1222,0.83546,254.7707,-2272892.041,-137.6775,258.9236,0.011516,-4871946.867,0.027495,259.6237,-79101.054,0.019883,51.3493,1.0
