std_MFCC_10th_coef,mean_8th_delta_delta,mean_MFCC_5th_coef,mean_MFCC_7th_coef,VFER_NSR_SEO,GNE_SNR_SEO,mean_MFCC_10th_coef,mean_MFCC_6th_coef,mean_MFCC_8th_coef,IMF_NSR_entropy,VFER_NSR_TKEO,mean_MFCC_4th_coef,mean_MFCC_1st_coef,mean_MFCC_3rd_coef,mean_MFCC_9th_coef,mean_MFCC_2nd_coef,mean_12th_delta_delta,mean_MFCC_12th_coef,std_MFCC_9th_coef,mean_MFCC_11th_coef,mean_11th_delta,std_12th_delta_delta,std_9th_delta,std_8th_delta,app_LT_entropy_log_8_coef,app_LT_entropy_shannon_2_coef,std_12th_delta,det_LT_entropy_log_10_coef,std_10th_delta_delta,app_LT_entropy_shannon_3_coef,app_LT_entropy_shannon_8_coef,det_entropy_log_9_coef,app_entropy_log_10_coef,std_8th_delta_delta,std_9th_delta_delta,app_entropy_log_8_coef,app_LT_entropy_shannon_5_coef,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_7_coef,det_entropy_log_8_coef,app_entropy_log_7_coef,app_LT_entropy_shannon_9_coef,det_LT_entropy_log_9_coef,app_entropy_log_6_coef,std_11th_delta_delta,app_LT_entropy_shannon_10_coef,std_10th_delta,app_entropy_log_9_coef,app_LT_entropy_shannon_4_coef,std_6th_delta_delta,det_entropy_log_10_coef,class
0.21511,0.00043047,-1.6334,0.39725,1.3305,1200445.612,0.54775,-1.5144,0.61775,0.20023,1.2825,0.55527,8.4781,0.02292,0.091821,2.4874,2.66e-05,-0.67274,0.28111,-0.0068247,0.0025138,0.01213,0.04718,0.028115,130.3804,-25711.8622,0.023057,-163.4186,0.017089,-36938.137,-776445.2329,-31.2923,248.6663,0.012829,0.021703,227.8718,-98433.1856,-184901.7535,-381059.351,-46.8515,231.969,-1676725.978,-175.6679,234.6861,0.010043,-3601122.613,0.035775,238.269,-57264.6625,0.014642,-18.7456,1.0
0.22222,-7.23e-05,-1.3427,0.17695,1.3177,1298455.445,0.54722,-1.6759,0.72944,0.20336,1.3063,0.45984,8.5008,-0.46733,0.2361,2.8986,-0.00010879,-0.39555,0.21342,0.057552,0.0014515,0.016128,0.039071,0.022166,130.2373,-25392.0069,0.032486,-166.2056,0.015389,-36496.8101,-768230.2335,-33.8478,247.9779,0.010645,0.020296,227.1834,-97324.883,-182880.5032,-376979.9939,-29.473,231.2326,-1659120.382,-177.7185,233.8954,0.015488,-3563560.603,0.030383,237.5807,-56599.2563,0.0255,-22.4413,1.0
0.22618,-3.72e-05,-1.7334,0.7052,1.3078,1272869.841,0.79354,-1.4929,0.51173,0.17296,1.2614,0.28918,7.6362,-0.48228,0.16615,3.2208,-0.00029845,-0.64555,0.25827,0.28698,-4.28e-06,0.016257,0.047357,0.032326,130.1464,-25253.6144,0.038433,-183.1261,0.017217,-36288.7542,-763056.6385,-59.2535,247.5423,0.016553,0.023186,226.7479,-96708.1119,-181663.4768,-374463.8517,-49.4374,230.7762,-1648032.246,-203.4729,233.417,0.015073,-3539902.4,0.031811,237.1451,-56258.4752,0.024607,-39.3774,1.0
0.20629,-0.00023155,-1.0083,0.86495,1.2986,1932289.206,-0.89378,-0.65556,1.4837,0.1751,1.2369,-1.559,6.7365,0.75419,-0.15365,3.1023,-8.01e-05,0.077452,0.19689,-0.75427,-0.0009698,0.015713,0.024291,0.032577,129.0689,-25452.5218,0.037164,-37.7727,0.015529,-35824.8476,-704471.7514,94.2247,243.445,0.015533,0.011976,222.5964,-91686.1704,-169639.1274,-347128.0292,102.5224,226.5624,-1522358.498,-53.0037,229.4475,0.01377,-3271399.011,0.0323,233.0128,-54370.929,0.017274,109.5148,1.0
0.23269,0.00057599,-1.0392,0.94225,1.3156,1861807.802,-1.0336,-0.51876,1.5498,0.21877,1.236,-1.755,6.4634,0.8321,-0.20208,2.9451,3.53e-05,-0.10346,0.17459,-0.88007,-0.00075071,0.013618,0.026002,0.031989,129.4029,-27472.1915,0.028731,-8.3446,0.014478,-38399.3353,-725678.1466,112.0031,245.0186,0.014382,0.012686,224.1464,-95740.4317,-176007.1589,-359900.4024,100.3828,228.6784,-1567705.131,-34.3376,231.7202,0.013402,-3367165.736,0.028222,234.5705,-57514.4436,0.013791,138.1052,1.0
0.25192,-7.27e-05,-0.85935,0.83613,1.264,1761740.466,-1.2148,-0.62433,1.5673,0.19882,1.2139,-1.7519,6.731,0.92168,0.16329,2.6799,-0.0002146,0.0776,0.22177,-0.98289,-0.0019798,0.01809,0.029726,0.038531,131.0997,-27766.3616,0.039203,-49.7272,0.019438,-39737.1374,-819418.599,72.378,253.7604,0.017719,0.015025,232.958,-104738.4875,-196500.4921,-403630.3745,116.6951,237.5195,-1768792.643,-79.6265,240.692,0.0177,-3797381.452,0.03825,243.3564,-61131.0983,0.018248,97.2651,1.0
0.2297,-0.00019518,-2.8799,1.3692,1.3039,1408372.118,-0.39208,-0.97391,0.12046,0.13555,1.2344,-2.7022,4.9305,1.2562,0.80736,0.74769,-4.31e-05,0.52586,0.18529,-0.9571,-0.00080619,0.014208,0.02634,0.029105,132.295,-29801.8283,0.026981,-92.9115,0.017169,-42729.7247,-895134.1157,36.8379,258.2033,0.014555,0.013068,237.4079,-113728.6244,-213539.0682,-439591.4525,29.3834,242.0959,-1930965.718,-116.8795,245.4171,0.012914,-4143316.972,0.037075,247.8052,-66187.6604,0.017874,59.7394,1.0
0.21548,0.00021403,-2.4404,0.41979,1.3607,1473379.51,-0.86943,-1.0065,0.17039,0.13759,1.2397,-1.6273,6.8758,0.52793,1.0621,-0.66462,9.11e-05,0.3094,0.22229,-0.9913,0.0021139,0.0097242,0.034423,0.029998,132.1043,-29547.7175,0.019231,-111.2707,0.012634,-42312.7476,-882538.7595,-1.2594,257.2258,0.013645,0.01451,236.431,-112296.3304,-210627.3955,-433521.4504,-8.2027,241.0822,-1903996.566,-152.4966,244.3645,0.010968,-4085825.963,0.027203,246.8282,-65440.4212,0.014798,41.4008,1.0
0.1349,-0.00046252,-2.8526,0.76818,1.3735,1434452.951,-0.57764,-1.4534,-0.013419,0.13288,1.2292,-1.3161,6.4642,1.3395,1.0857,-1.3781,2.09e-05,0.44832,0.17526,-1.2912,-0.00090491,0.0090548,0.026863,0.03276,132.1343,-29604.4594,0.01638,-129.6288,0.010832,-42405.7938,-884492.7334,11.354,257.3779,0.015607,0.013336,236.5834,-112544.7905,-211102.9429,-434580.393,27.1609,241.2602,-1908180.953,-141.3512,244.5374,0.010263,-4094751.912,0.020389,246.9806,-65588.552,0.020505,23.5129,1.0
0.20495,0.00061779,-1.6722,0.4632,1.3603,1241110.325,-1.242,-1.8731,0.92842,0.13205,1.2932,-1.7791,6.784,-1.9157,-1.2263,-0.034732,-0.00062479,0.20372,0.17501,-0.29561,-0.0019692,0.013365,0.026993,0.044717,134.5098,-36076.2436,0.033662,-114.7238,0.01296,-51385.311,-1054905.116,28.4016,270.021,0.017956,0.012766,249.2264,-135192.2165,-252786.7785,-519256.1222,0.83546,254.7707,-2272892.041,-137.6775,258.9236,0.011516,-4871946.867,0.027495,259.6237,-79101.054,0.019883,51.3493,1.0
