tqwt_maxValue_dec_14,tqwt_entropy_log_dec_33,tqwt_meanValue_dec_17,tqwt_meanValue_dec_27,tqwt_entropy_log_dec_35,tqwt_entropy_log_dec_10,tqwt_meanValue_dec_3,tqwt_entropy_log_dec_28,tqwt_meanValue_dec_6,tqwt_meanValue_dec_34,tqwt_meanValue_dec_31,tqwt_skewnessValue_dec_36,tqwt_meanValue_dec_20,tqwt_meanValue_dec_26,tqwt_entropy_log_dec_13,tqwt_meanValue_dec_15,tqwt_entropy_log_dec_34,tqwt_meanValue_dec_10,tqwt_meanValue_dec_9,tqwt_minValue_dec_16,tqwt_maxValue_dec_16,tqwt_entropy_log_dec_26,tqwt_entropy_log_dec_30,tqwt_meanValue_dec_33,tqwt_entropy_log_dec_32,tqwt_meanValue_dec_28,tqwt_entropy_shannon_dec_16,tqwt_energy_dec_17,tqwt_meanValue_dec_16,tqwt_meanValue_dec_21,tqwt_maxValue_dec_17,tqwt_meanValue_dec_11,tqwt_meanValue_dec_23,tqwt_meanValue_dec_13,tqwt_entropy_shannon_dec_22,tqwt_entropy_shannon_dec_21,tqwt_entropy_log_dec_31,tqwt_meanValue_dec_12,tqwt_skewnessValue_dec_35,tqwt_meanValue_dec_1,tqwt_meanValue_dec_32,tqwt_energy_dec_18,tqwt_meanValue_dec_24,tqwt_entropy_log_dec_14,tqwt_maxValue_dec_18,tqwt_minValue_dec_14,tqwt_minValue_dec_18,tqwt_stdValue_dec_16,tqwt_meanValue_dec_29,tqwt_meanValue_dec_19,tqwt_meanValue_dec_14,tqwt_meanValue_dec_25,tqwt_meanValue_dec_18,tqwt_kurtosisValue_dec_36,tqwt_stdValue_dec_15,tqwt_meanValue_dec_35,tqwt_stdValue_dec_17,tqwt_meanValue_dec_2,tqwt_maxValue_dec_15,tqwt_entropy_shannon_dec_15,tqwt_meanValue_dec_22,tqwt_entropy_shannon_dec_20,tqwt_entropy_log_dec_11,tqwt_entropy_log_dec_12,tqwt_meanValue_dec_5,tqwt_meanValue_dec_4,tqwt_minValue_dec_15,tqwt_meanValue_dec_30,tqwt_meanValue_dec_7,tqwt_meanValue_dec_8,std_12th_delta_delta,std_9th_delta,std_8th_delta,app_LT_entropy_log_8_coef,app_LT_entropy_shannon_2_coef,std_12th_delta,det_LT_entropy_log_10_coef,std_10th_delta_delta,app_LT_entropy_shannon_3_coef,app_LT_entropy_shannon_8_coef,det_entropy_log_9_coef,app_entropy_log_10_coef,std_8th_delta_delta,std_9th_delta_delta,app_entropy_log_8_coef,app_LT_entropy_shannon_5_coef,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_7_coef,det_entropy_log_8_coef,app_entropy_log_7_coef,app_LT_entropy_shannon_9_coef,det_LT_entropy_log_9_coef,app_entropy_log_6_coef,std_11th_delta_delta,app_LT_entropy_shannon_10_coef,std_10th_delta,app_entropy_log_9_coef,app_LT_entropy_shannon_4_coef,std_6th_delta_delta,det_entropy_log_10_coef,RPDE,DFA,meanPeriodPulses,meanHarmToNoiseHarmonicity,app_LT_TKEO_std_2_coef,app_LT_TKEO_std_3_coef,app_LT_TKEO_mean_6_coef,app_LT_TKEO_std_8_coef,app_LT_entropy_log_10_coef,app_LT_TKEO_mean_10_coef,app_LT_TKEO_mean_4_coef,app_LT_TKEO_mean_8_coef,app_LT_TKEO_mean_7_coef,app_LT_TKEO_std_5_coef,app_LT_entropy_log_9_coef,app_LT_TKEO_std_10_coef,app_LT_TKEO_std_6_coef,app_LT_TKEO_mean_5_coef,app_LT_TKEO_std_9_coef,app_LT_TKEO_mean_9_coef,app_LT_TKEO_std_4_coef,app_LT_TKEO_std_7_coef,f3,f2,f1,f4,class
0.10575,-4540.083,9.6e-20,1.84e-18,-3190.1752,-281439.269,1.7000000000000002e-22,-3160.3491,-2.86e-21,7.96e-20,0.0,-2.7303,7.54e-21,-7.21e-19,-127736.2777,-2.65e-20,-3726.2679,-1.36e-20,1.23e-20,-0.29603,0.29603,-4459.3054,-7011.7391,-2.02e-20,-5536.5796,-1.85e-18,189.5,0.089055,1.82e-21,-6.33e-20,0.46639,-1.63e-20,-1.9e-18,1.8400000000000002e-21,214.7895,99.3648,-6228.1902,-2.6300000000000002e-21,0.010352,-2.89e-21,6.53e-20,0.17728,-2.42e-19,-83962.4084,0.61778,-0.10839,-0.61778,0.078064,-7.290000000000001e-21,-1.06e-18,1.34e-19,9.38e-20,-7.5e-20,18.9405,0.063087,1.87e-20,0.13169,-3.77e-21,0.20486,174.692,-1.25e-18,225.6461,-229943.2967,-201985.0408,-3.98e-22,-9.18e-22,-0.19432,2.04e-20,-3.52e-22,1.0600000000000001e-21,0.01213,0.04718,0.028115,130.3804,-25711.8622,0.023057,-163.4186,0.017089,-36938.137,-776445.2329,-31.2923,248.6663,0.012829,0.021703,227.8718,-98433.1856,-184901.7535,-381059.351,-46.8515,231.969,-1676725.978,-175.6679,234.6861,0.010043,-3601122.613,0.035775,238.269,-57264.6625,0.014642,-18.7456,0.57227,0.71826,0.00806353,18.995,16.7003,42.0762,174.9214,2091.946,151.1748,3173.0448,28.5949,793.068,371.7296,228.8489,140.7776,8373.9278,493.8563,74.3411,4188.2456,1586.1824,101.0889,1015.7707,2447.162183,1031.84904,539.3427351,3655.054806,1.0
0.12158,-4466.8949,-1.18e-19,-4.27e-18,-3106.4317,-285733.2255,-1.19e-21,-3212.9726,3.08e-21,2.43e-20,9.79e-20,5.2294,5.66e-21,3.15e-19,-136442.1326,1.2e-19,-3719.5566,3.71e-20,2.03e-20,-0.25945,0.25945,-5013.9281,-6983.7028,-6.05e-20,-5232.0226,1.95e-18,163.4516,0.10461,-4.36e-20,3.09e-19,0.34292,-1.68e-20,1.39e-18,-4.95e-20,124.8502,65.511,-6115.804,-3.77e-20,0.78041,-1.7700000000000003e-21,-5.89e-20,0.24217,0.0,-90311.316,0.50757,-0.10134,-0.50757,0.071183,7.77e-20,3.17e-18,7.580000000000001e-21,1.78e-19,1.34e-18,45.178,0.055913,-2.92e-20,0.12865,5.66e-21,0.18155,140.8136,-1.44e-19,156.2954,-230526.8175,-203389.4678,0.0,1.85e-20,-0.17254,-2.34e-20,-1.2e-20,2.01e-20,0.016128,0.039071,0.022166,130.2373,-25392.0069,0.032486,-166.2056,0.015389,-36496.8101,-768230.2335,-33.8478,247.9779,0.010645,0.020296,227.1834,-97324.883,-182880.5032,-376979.9939,-29.473,231.2326,-1659120.382,-177.7185,233.8954,0.015488,-3563560.603,0.030383,237.5807,-56599.2563,0.0255,-22.4413,0.53966,0.69481,0.008258256,21.497,16.5376,41.7306,173.4666,2074.4541,151.0317,3144.4525,28.3506,786.0763,368.5705,226.9019,140.6345,8298.1606,489.9169,73.7185,4148.9889,1572.1837,100.0918,1006.3702,2383.565201,1016.367294,564.3636145,3498.681572,1.0
0.081818,-4455.2826,-7.42e-20,-2.12e-18,-3082.5691,-305145.0185,-3.29e-22,-3724.5248,3.1e-21,3.03e-20,-5.6e-20,0.35054,-6.03e-20,-2.7e-19,-146506.6418,1.47e-19,-3661.5431,9.080000000000001e-21,-1.05e-21,-0.20036,0.20036,-5977.917,-6970.5761,3.53e-20,-5388.7857,2.66e-18,101.5144,0.10359,-5.18e-20,1.76e-19,0.28375,7.08e-22,9.51e-19,-1.2e-20,34.488,29.3223,-6109.0433,2.58e-21,-0.0055224,9.44e-22,-1.68e-20,0.2331,1.88e-19,-99913.1016,0.47225,-0.081836,-0.47225,0.051791,1.75e-19,-2.19e-18,-1.13e-19,1.88e-20,1.05e-18,4.7666,0.041144,2.19e-20,0.085754,-5.04e-22,0.17028,84.8129,1.52e-19,140.831,-246592.6024,-214707.2576,2.6e-22,-1.4700000000000001e-21,-0.15447,2.34e-20,-9.070000000000001e-21,-2.91e-22,0.016257,0.047357,0.032326,130.1464,-25253.6144,0.038433,-183.1261,0.017217,-36288.7542,-763056.6385,-59.2535,247.5423,0.016553,0.023186,226.7479,-96708.1119,-181663.4768,-374463.8517,-49.4374,230.7762,-1648032.246,-203.4729,233.417,0.015073,-3539902.4,0.031811,237.1451,-56258.4752,0.024607,-39.3774,0.58982,0.67604,0.00833959,17.651,16.4817,41.4869,172.5204,2064.1067,150.9408,3128.0295,28.2014,782.0604,366.5936,225.7803,140.5436,8254.7868,486.9865,73.3297,4127.0967,1564.1081,99.6154,1001.7348,2357.826954,1032.406341,548.4446038,3678.128717,1.0
0.56774,-2779.8086,-1.07e-19,5.94e-19,-1965.3808,-287896.7686,-1.12e-20,-4965.0071,-1.41e-20,2.43e-20,5.04e-19,0.19164,1.43e-19,-2.34e-18,-103182.8663,-9.09e-20,-2372.6055,1.2200000000000001e-21,2.94e-20,-0.91013,0.94236,-2473.9872,-3853.4907,-2.42e-19,-3124.9244,-1.62e-18,646.9783,0.041364,5.09e-20,7.78e-19,0.87739,5.63e-20,2.87e-18,2.56e-19,312.2889,428.4747,-3875.9253,-3.16e-20,-0.49265,-4.480000000000001e-21,5.73e-19,0.025707,-6.25e-20,-70072.7154,0.76014,-0.58638,-0.65225,0.19839,4.66e-19,-1.26e-19,-1.23e-18,2.83e-18,-2.8e-19,4.0603,0.15872,-5.54e-19,0.19487,1.21e-20,0.83417,572.9586,-2.17e-19,324.7968,-255107.4287,-160775.565,-7.1e-21,-5.4e-21,-0.84814,-2.06e-18,-8.810000000000001e-21,2.49e-20,0.015713,0.024291,0.032577,129.0689,-25452.5218,0.037164,-37.7727,0.015529,-35824.8476,-704471.7514,94.2247,243.445,0.015533,0.011976,222.5964,-91686.1704,-169639.1274,-347128.0292,102.5224,226.5624,-1522358.498,-53.0037,229.4475,0.01377,-3271399.011,0.0323,233.0128,-54370.929,0.017274,109.5148,0.59257,0.79672,0.010857733,19.865,16.8216,41.3157,158.1634,1890.1299,149.8649,2913.3877,26.222,724.9443,336.9109,211.1565,139.4666,7698.9389,443.3447,67.4885,3910.7029,1448.7625,94.4579,955.8128,3154.035654,1201.813897,819.529588,4122.163933,1.0
0.56749,-2910.9996,1.31e-19,1.28e-19,-2102.3852,-279129.6866,-2.4600000000000003e-21,-5832.5871,3.6700000000000006e-21,1.88e-19,-1.12e-19,0.26596,-2.04e-19,-8.11e-19,-97661.8079,-5.82e-19,-2484.715,-1.8300000000000003e-21,-1.17e-20,-0.93465,0.75783,-2171.4673,-4315.6123,-4.03e-20,-3319.5362,-2.43e-20,683.1305,0.032471,2.64e-19,-1.7e-18,0.80918,1.28e-20,1.11e-18,1.02e-19,284.4293,445.3749,-4030.0406,-3.59e-20,-0.035805,-1.8e-21,-1.18e-19,0.020096,-1.22e-18,-67314.2041,0.58794,-0.5058,-0.62996,0.1979,-3.16e-20,1.09e-18,-3.11e-19,-1.95e-18,-3.3e-19,6.1164,0.169,-2.19e-20,0.1723,5.2400000000000006e-21,0.74186,647.2537,1.77e-18,325.9259,-252647.9964,-154087.6641,5.72e-21,-2.7e-21,-0.86047,1.4e-19,2.64e-22,-1.03e-20,0.013618,0.026002,0.031989,129.4029,-27472.1915,0.028731,-8.3446,0.014478,-38399.3353,-725678.1466,112.0031,245.0186,0.014382,0.012686,224.1464,-95740.4317,-176007.1589,-359900.4024,100.3828,228.6784,-1567705.131,-34.3376,231.7202,0.013402,-3367165.736,0.028222,234.5705,-57514.4436,0.013791,138.1052,0.53028,0.79782,0.008161574,19.557,18.3595,46.2704,182.9658,2242.546,150.2018,3265.5292,30.3224,827.9359,390.174,244.0607,139.8011,8645.2845,541.2414,78.253,4297.4639,1653.5676,108.6792,1057.2566,3201.513132,1215.346469,846.7961437,4085.456839,1.0
0.62515,-2499.9299,-7.42e-20,-2.54e-18,-1918.089,-275884.6604,1e-20,-5280.4764,-2.7e-20,8.49e-20,-3.92e-19,-0.077581,2.19e-19,-2.21e-18,-101139.3277,-3.33e-19,-2239.3081,3.04e-21,-1.32e-20,-0.88914,0.85841,-2728.0888,-3522.2468,1.01e-20,-2399.6602,-1.23e-18,697.3025,0.041259,1.85e-19,-2.23e-18,0.73881,-3.36e-20,5.94e-18,7.05e-20,314.7619,468.781,-2741.3453,2.19e-20,-0.27073,-7.430000000000001e-21,8.42e-19,0.021994,1.13e-18,-68599.971,0.54726,-0.59958,-0.53906,0.20793,1.94e-19,3.78e-18,2.79e-19,-1.43e-18,-1.67e-18,3.225,0.17745,-2.77e-19,0.18456,-5.45e-21,0.86536,661.3569,6.08e-19,352.4345,-250630.0229,-158686.4553,1.31e-20,-1.21e-20,-0.84755,-1.36e-18,3.52e-22,-1.99e-20,0.01809,0.029726,0.038531,131.0997,-27766.3616,0.039203,-49.7272,0.019438,-39737.1374,-819418.599,72.378,253.7604,0.017719,0.015025,232.958,-104738.4875,-196500.4921,-403630.3745,116.6951,237.5195,-1768792.643,-79.6265,240.692,0.0177,-3797381.452,0.03825,243.3564,-61131.0983,0.018248,97.2651,0.65451,0.78744,0.007631204,14.676,22.7007,55.3092,192.7931,2280.6768,151.8946,3413.618,31.7812,856.6478,406.812,260.5987,141.497,9009.3152,571.4985,82.946,4490.8117,1713.1566,118.2894,1090.6415,3177.289013,1193.223486,832.4372517,3791.213621,1.0
0.32828,-2701.9626,-8.29e-20,-2.38e-18,-2142.4755,-228117.0233,8.5e-22,-8263.9206,-1.75e-20,-1.94e-19,-2.24e-19,-0.78562,2.04e-19,1.67e-18,-84630.5749,-2.56e-19,-2511.6261,-3.96e-20,1.37e-19,-0.58136,0.60066,-1071.8399,-5211.4179,4.64e-19,-2966.0718,1.62e-19,965.6082,0.083084,-3.82e-19,-1.03e-18,0.75767,-1.04e-19,-1.8e-18,1.7e-19,654.3742,561.5351,-3798.4822,-8.94e-20,-1.2426,-1.22e-20,-6.4e-19,0.060998,-5.63e-19,-60759.8073,0.60873,-0.30381,-0.61289,0.23198,1.55e-19,-1.88e-19,2.79e-19,1.09e-18,-5.87e-19,7.7693,0.1472,0.0,0.26191,6.230000000000001e-21,0.36239,671.048,3.19e-18,259.6713,-186998.3021,-123379.9212,-3.5500000000000005e-21,7.340000000000001e-21,-0.36555,-2.1e-19,-3.74e-20,-2.22e-20,0.014208,0.02634,0.029105,132.295,-29801.8283,0.026981,-92.9115,0.017169,-42729.7247,-895134.1157,36.8379,258.2033,0.014555,0.013068,237.4079,-113728.6244,-213539.0682,-439591.4525,29.3834,242.0959,-1930965.718,-116.8795,245.4171,0.012914,-4143316.972,0.037075,247.8052,-66187.6604,0.017874,59.7394,0.54543,0.62145,0.005990989,18.67,18.8481,47.4972,197.5135,2358.532,153.0894,3586.1536,32.2819,895.4899,419.6627,258.2175,142.6922,9465.1464,557.1802,83.9366,4737.9142,1791.3123,113.9745,1147.0422,3049.357722,1165.801015,710.8618603,4211.727619,1.0
0.25932,-2598.5729,1.33e-19,1.11e-18,-1911.9907,-232345.1421,-1.91e-21,-5635.3952,-1.3900000000000001e-21,-8.73e-19,3.07e-19,0.088408,3.62e-19,6.04e-18,-81552.501,6.28e-19,-2192.1084,1.95e-20,1.0100000000000002e-21,-0.58256,0.53308,-1413.4164,-5211.1841,1.61e-19,-3135.3124,-1.56e-18,987.3595,0.099007,3.58e-19,1.18e-18,0.70263,-3.51e-20,-1.77e-18,-2.04e-19,628.7673,620.6345,-4110.1406,1.7e-19,-0.47448,4.13e-22,-5.22e-19,0.051058,-6.25e-19,-64328.1679,0.61423,-0.27259,-0.58601,0.22982,-1.94e-20,-1.28e-18,2.46e-19,1.65e-18,1.47e-18,5.0448,0.13237,-2.33e-19,0.28121,-4.53e-21,0.39396,556.9767,-9.12e-19,279.4512,-194841.0453,-120105.918,6.910000000000001e-21,1.3300000000000001e-21,-0.36161,2.04e-19,1.18e-20,2.69e-20,0.0097242,0.034423,0.029998,132.1043,-29547.7175,0.019231,-111.2707,0.012634,-42312.7476,-882538.7595,-1.2594,257.2258,0.013645,0.01451,236.431,-112296.3304,-210627.3955,-433521.4504,-8.2027,241.0822,-1903996.566,-152.4966,244.3645,0.010968,-4085825.963,0.027203,246.8282,-65440.4212,0.014798,41.4008,0.51179,0.62079,0.006073855,20.302,18.6623,46.9588,195.4218,2336.1915,152.8987,3549.7682,31.9235,886.6832,415.2883,255.439,142.5015,9368.8262,550.5283,83.0343,4689.1889,1773.5485,112.5594,1137.285,2954.648489,1165.769341,668.3065153,3560.280084,1.0
0.41603,-2640.7162,5.76e-19,3.94e-18,-2201.4183,-233531.0215,1.1400000000000001e-21,-6697.7144,-9.21e-21,6.67e-20,3.48e-19,0.30226,1.7e-19,3.42e-18,-84209.095,8.01e-19,-2461.2141,-2.88e-20,2.79e-20,-0.6246,0.61258,-2060.9471,-4649.9573,2.85e-19,-2857.6096,1.95e-19,996.8589,0.19084,3.36e-19,-2.62e-18,0.80347,1.57e-20,-6.4e-19,-1.77e-19,661.5356,535.4549,-3494.5201,-4.87e-20,0.13473,-2.57e-21,-1.52e-19,0.098006,-6.02e-19,-61819.1894,0.68579,-0.35724,-0.77843,0.23435,1.37e-19,9.77e-19,5.58e-19,-9.14e-19,-1.57e-18,3.843,0.12394,1.14e-19,0.35887,1.4200000000000002e-21,0.46549,500.4981,2.32e-18,240.5436,-199284.3607,-125357.3699,-8.38e-21,2.29e-22,-0.43696,-4.67e-19,-2.84e-20,-4.61e-20,0.0090548,0.026863,0.03276,132.1343,-29604.4594,0.01638,-129.6288,0.010832,-42405.7938,-884492.7334,11.354,257.3779,0.015607,0.013336,236.5834,-112544.7905,-211102.9429,-434580.393,27.1609,241.2602,-1908180.953,-141.3512,244.5374,0.010263,-4094751.912,0.020389,246.9806,-65588.552,0.020505,23.5129,0.50447,0.61766,0.006057188,22.376,18.8287,47.402,197.1812,2359.9277,152.9287,3572.9956,32.24,893.6069,418.9962,258.0441,142.5315,9428.5914,556.8407,83.813,4711.4346,1787.1418,113.8672,1144.0632,2933.208331,1127.450888,670.6393442,3833.298076,1.0
0.5891,-4244.034,-7.42e-20,1.08e-19,-3306.9933,-259591.7031,2.04e-21,-7699.7633,-2.9400000000000003e-21,1.08e-19,-3.67e-20,4.4381,-7.54e-20,-4.22e-20,-68697.2353,-5.62e-19,-3705.2665,8.220000000000001e-21,3.3e-21,-0.5904,0.5904,-13788.0028,-6610.9069,2.77e-20,-5223.3198,8.11e-20,855.2864,0.20216,6.91e-20,-8.59e-20,0.76758,-9.94e-20,5.62e-19,4.91e-19,237.0801,63.7897,-6217.2844,1.1e-19,0.53732,-1.1e-20,3.58e-20,0.089915,-5.47e-20,-45321.4183,0.6235,-0.62352,-0.6235,0.20353,-9.23e-20,-2.64e-19,-1.21e-18,3.87e-20,-1.2e-19,38.7211,0.19039,7.290000000000001e-21,0.30115,-1.7700000000000003e-21,0.62537,853.2024,1.48e-18,310.4498,-213417.7115,-119688.9023,-6.12e-22,-3.01e-21,-0.63508,8.76e-21,-3.39e-20,-2.2e-20,0.013365,0.026993,0.044717,134.5098,-36076.2436,0.033662,-114.7238,0.01296,-51385.311,-1054905.116,28.4016,270.021,0.017956,0.012766,249.2264,-135192.2165,-252786.7785,-519256.1222,0.83546,254.7707,-2272892.041,-137.6775,258.9236,0.011516,-4871946.867,0.027495,259.6237,-79101.054,0.019883,51.3493,0.54855,0.62247,0.003910221,23.426,21.9842,55.521,231.1584,2767.5847,155.3042,4191.2084,37.7971,1048.1533,491.271,302.3896,144.907,11060.3011,652.3802,98.2367,5528.7612,2096.1772,133.5242,1343.0375,2020.531841,1285.508031,707.8155328,3238.976356,1.0
